Site,Data.Source,Type,zone,adj.r.squared,p.value,reg.slope
Ben,Current,Mined,z2,0.46506156511586894,1.4399345903680242e-30,-0.2895538849751754
Ben,Historic,Mined,z2,0.907004282895807,4.93909230187692e-174,-0.20852036358518128
BenRef,Current,Unmined,z2,0.8959166705627958,4.051020707481326e-88,-0.1507979416001292
BenRef,Historic,Unmined,z2,0.9044119454602676,8.419605419772085e-89,-0.2394880867942507
Laurel,Current,Mined,z2,0.7775518543250078,6.526202341137274e-38,-0.2536066084989412
Laurel,Historic,Mined,z2,0.811645675965881,9.974564704375053e-100,-0.1586183238720491
LaurelRef,Current,Unmined,z2,0.7873723168195897,3.408494763796446e-30,-0.11197238185944766
LaurelRef,Historic,Unmined,z2,0.8567114540949247,4.4507805971854864e-42,-0.18621937639209526
Mud,Current,Mined,z2,0.7126683359284203,1.377145529407185e-23,-0.19414091119962854
Mud,Historic,Mined,z2,0.8660066402143564,9.966097276810095e-31,-0.29331115871295743
MudRef,Current,Unmined,z2,0.8559834715830378,2.152330325303792e-99,-0.1406696876790708
MudRef,Historic,Unmined,z2,0.9105865266145157,2.5322970751729775e-144,-0.17842413237579657
Spruce,Current,Mined,z2,0.7888511342867416,1.7611602955153429e-38,-0.2279034566969662
Spruce,Historic,Mined,z2,0.7522610847843586,7.345202170039141e-65,-0.14390812741356102
SpruceRef,Current,Unmined,z2,0.7679956198294916,1.324359546346303e-43,-0.10877647359655096
SpruceRef,Historic,Unmined,z2,0.7741442105635106,1.743642471722713e-52,-0.11692401957685626
WhiteOak,Current,Mined,z2,0.749354452691989,1.3183067642909017e-29,-0.27696851307118686
WhiteOak,Historic,Mined,z2,0.8445801274764395,1.86401444587877e-57,-0.20908322235462426
WhiteOakRef,Current,Unmined,z2,0.5529362160577038,8.512403586080239e-10,-0.06009800672480892
WhiteOakRef,Historic,Unmined,z2,0.886523032476471,1.875826214337543e-15,-0.306545694501477
Ben,Current,Mined,z4,0.7089859271452796,5.19148374783728e-22,-0.15582138416445163
Ben,Historic,Mined,z4,0.9195103828028729,7.653365577161118e-36,-0.17572922038862485
BenRef,Current,Unmined,z4,0.8351937892356023,1.0806573987307647e-12,-0.1083468207989086
BenRef,Historic,Unmined,z4,0.8998805006608248,9.74822621114919e-16,-0.1308119011367301
Laurel,Current,Mined,z4,0.7127604309849238,2.89201606098981e-14,-0.2006961387556098
Laurel,Historic,Mined,z4,0.8383652653501834,1.9663455225209097e-16,-0.13181080763886865
